"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/01/2018","Orig Name Venmo","ORIG CO NAME:VENMO            COENTRY DESCR:CASHOUT    SEC:PPD                        ORIG ID:5264681992","9.00","credit","Income","CHASE COLLEGE","",""
"4/30/2018","Amazon","AMAZON MARKETPLACE WA SEATTLE","16.98","debit","Shopping","XXXXXXXXXX5219","",""
"4/29/2018","CVS","CVS PHARMACY","8.99","debit","Pharmacy","Blue Cash Preferred","",""
"4/29/2018","Sprouts Farmers Market","SPROUTS FARMERS MARKET","17.86","debit","Groceries","Blue Cash Preferred","",""
"4/29/2018","Vons Fuel","VONS FUEL STATION","125.00","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/11/2015","E Trade Ach","E*TRADE ACH TRNSFR PPD","17223.34","credit","Transfer","TOTAL CHECKING","",""
"8/11/2015","AT&T","POS DEBIT CCS*AT&amp;T MESA AZ","41.36","debit","Home Phone","CHASE COLLEGE","",""
"8/11/2015","Los Panchos Taco","POS DEBIT LOS PANCHOS TACO SHOP # SAN DIEGO CA","10.61","debit","Food & Dining","CHASE COLLEGE","",""
"8/11/2015","Burgundy Room","POS DEBIT BURGUNDY ROOM LOS ANGELES CA","10.98","debit","Alcohol & Bars","CHASE COLLEGE","",""
"4/30/2018","Deposit Apy Earned","Deposit 0.030% %% Apy EarnedDeposit 0.030% %% Apy Earned  0.03% 04/01/18 To 04/30/18 %% Apye Avg Daily Bal           20,535.14","0.51","credit","Income","Classic Checking","",""
"4/30/2018","Starbucks","STARBUCKS STORE 22601 LOS ANGELES CA         04/26","6.90","debit","Coffee Shops","CHASE COLLEGE","",""
"4/30/2018","Trader Joe's","TRADER JOE'S # 040 WEST HOLLYWOOCA  073900  04/30","8.17","debit","Groceries","CHASE COLLEGE","",""
"4/30/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...9365 transaction#: 7103332782 04/30","5000.00","debit","Transfer","CHASE COLLEGE","",""
"4/30/2018","Trader Joe's","TRADER JOE'S #240 QPS LOS ANGELES CA 296893  04/30","36.97","debit","Groceries","CHASE COLLEGE","",""
"4/30/2018","Starbucks","STARBUCKS STORE 22601 LOS ANGELES CA         04/27","8.20","debit","Coffee Shops","CHASE COLLEGE","",""
"4/30/2018","Wendy's","WENDY'S 44030 LOS ANGELES CA04/27","19.02","debit","Fast Food","CHASE COLLEGE","",""
"4/30/2018","Starbucks","STARBUCKS STORE 28051 LOS ANGELES CA         04/28","8.40","debit","Coffee Shops","CHASE COLLEGE","",""
"4/30/2018","Venmo Cashout Ppd","VENMO            CASHOUTPPD ID: 5264681992","27.00","credit","Income","CHASE COLLEGE","",""
"4/30/2018","Transfer from CHASE COLLEGE","Online Transfer from CHK ...7593transaction#: 7103332782","5000.00","credit","Transfer","TOTAL CHECKING","",""
"4/30/2018","Redbox","Redbox *Dvd Rental Oakbrook TerRedbox *Dvd Rental Oakbrook Ter Il Date 04/28/18 1      8118242216     0 7841","1.89","debit","Movies & DVDs","Visa Platinum","",""
